LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
2;MOVIMENTO 5 STELLE;31;Grimaudo Domenico;31 DOMENICO GRIMAUDO.jpg
2;MOVIMENTO 5 STELLE;32;Schiavon Barbara;32 BARBARA SCHIAVON.jpeg
2;MOVIMENTO 5 STELLE;33;Piol Manuela;
2;MOVIMENTO 5 STELLE;34;Lizzo Adriana;34 ADRIANA LIZZO.jpg
3;ENZIAN SÜDTIROL;1;Unterholzner Josef;1 Josef Unterholzner.jpg
3;ENZIAN SÜDTIROL;2;Haller Anita;2 Anita Haller.jpg
3;ENZIAN SÜDTIROL;3;Mauracher Martin;3 Martin Mauracher.jpg
3;ENZIAN SÜDTIROL;4;Hilber Ulrike Maria;4 Ulrike Maria Hilber.jpg
3;ENZIAN SÜDTIROL;5;Ferranti Bruna Patrizia;5 Bruna Patrizia Ferranti.JPG
3;ENZIAN SÜDTIROL;6;Stadler Christian;6 Christian Stadler.jpg
3;ENZIAN SÜDTIROL;7;Netschada Jasmine;7 Jasmine Netschada.jpg
3;ENZIAN SÜDTIROL;8;Moosmair Walter;8 Walter Moosmair.jpg
3;ENZIAN SÜDTIROL;9; Oberrauch Frowin;9 Frowin Oberrauch.JPG
3;ENZIAN SÜDTIROL;10;Barchetti Cristina;10 Cristina Barchetti.jpg
3;ENZIAN SÜDTIROL;11;Leitner Otmar;11 Otmar Leitner.jpg
3;ENZIAN SÜDTIROL;12;Schick Hannes;12 Hannes Schick.JPG
3;ENZIAN SÜDTIROL;13;Pircher Bernhard;13 Bernhard Pircher.jpg
3;ENZIAN SÜDTIROL;14;Farci Serenella;14 Serenella Farci.JPG
3;ENZIAN SÜDTIROL;15;G�gele Angelika;15 Angelika Gogele.jpg
3;ENZIAN SÜDTIROL;16;Kirchler Martin;16 Martin Kirchler.jpg
3;ENZIAN SÜDTIROL;17;Sanoll Heinrich;17 Heinrich Sanoll.jpg
3;ENZIAN SÜDTIROL;18; Zingerle Anna;18 Anna Zingerle.jpg
3;ENZIAN SÜDTIROL;19;Dissertori Martin;19 Martin Dissertori.jpg
3;ENZIAN SÜDTIROL;20;Orlandi Monica;20 Monica Orlandi.JPG
3;ENZIAN SÜDTIROL;21;Perugini Andreas;21 Andreas Perugini.jpg
3;ENZIAN SÜDTIROL;22;Pribyl Jiri;22 Jiri Pribyl.jpg
3;ENZIAN SÜDTIROL;23;Klotz Georg;23 Georg Klotz.png
4;STF SÜDTIROLER FREIHEIT;1;Knoll Sven;1-Sven-Knoll.jpg
4;STF SÜDTIROLER FREIHEIT;2;Atz Tammerle Myriam;2-Myriam-Atz-Tammerle.jpg
4;STF SÜDTIROLER FREIHEIT;3; Zimmerhofer Bernhard;3-Bernhard-Zimmerhofer.jpg
4;STF SÜDTIROLER FREIHEIT;4;Rabensteiner Hannes;4-Hannes-Rabensteiner.jpg
