MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;3;ENZIAN;65
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;4;STF SÜDTIROLER FREIHEIT;531
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;122
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;6;VERDI GRÜNE VËRC;908
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;7;FRATELLI D’ITALIA;274
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;8;LA CIVICA;79
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;9;JWA - WIRTH ANDERLAN;464
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;10;DIE FREIHEITLICHEN;447
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;11;FORZA ITALIA;33
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;12;VITA;220
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;13;CENTRO DESTRA;29
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;14;SVP SÜDTIROLER VOLKSPARTEI;3499
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;109
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;54;158;16;FÜR SÜDTIROL MIT WIDMANN;341
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;1;TEAM K;41
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;2;MOVIMENTO 5 STELLE;1
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;3;ENZIAN;4
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;4;STF SÜDTIROLER FREIHEIT;66
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;1
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;6;VERDI GRÜNE VËRC;20
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;7;FRATELLI D’ITALIA;7
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;8;LA CIVICA;4
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;9;JWA - WIRTH ANDERLAN;53
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;10;DIE FREIHEITLICHEN;42
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;11;FORZA ITALIA;0
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;12;VITA;5
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;13;CENTRO DESTRA;0
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;14;SVP SÜDTIROLER VOLKSPARTEI;218
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;4
021005;AVELENGO;HAFLING;HAFLING;1;1;4;6;16;FÜR SÜDTIROL MIT WIDMANN;26
021006;BADIA;ABTEI;BADIA;3;3;32;56;1;TEAM K;160
021006;BADIA;ABTEI;BADIA;3;3;32;56;2;MOVIMENTO 5 STELLE;8
021006;BADIA;ABTEI;BADIA;3;3;32;56;3;ENZIAN;7
