"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022001";"Ala";7;7;3322;3299;6621;0;0;2705;
"022002";"Albiano";1;1;583;562;1145;0;0;519;
"022003";"Aldeno";3;3;1232;1267;2499;0;0;1161;
"022235";"Altavalle";4;4;689;697;1386;0;0;546;
"022236";"Altopiano della Vigolana";5;5;2075;2049;4124;0;0;1651;
"022237";"Amblar-Don";1;1;201;209;410;0;0;153;
"022005";"Andalo";1;1;455;433;888;0;0;331;
"022006";"Arco";12;12;6820;7230;14050;0;0;4738;
"022007";"Avio";3;3;1586;1657;3243;0;0;1467;
"022009";"Baselga di Pinè";4;4;2049;2139;4188;0;0;1691;
"022011";"Bedollo";2;2;663;673;1336;0;0;545;
"022013";"Besenello";2;2;1031;1029;2060;0;0;842;
"022015";"Bieno";1;1;183;192;375;0;0;164;
"022017";"Bleggio Superiore";2;2;647;628;1275;0;0;505;
"022018";"Bocenago";1;1;168;173;341;0;0;126;
"022021";"Bondone";2;2;303;283;586;0;0;201;
"022238";"Borgo Chiese";3;3;827;842;1669;0;0;645;
"022239";"Borgo Lares";1;1;300;307;607;0;0;251;
"022022";"Borgo Valsugana";6;6;2744;2960;5704;0;0;2191;
"022025";"Brentonico";4;4;1604;1622;3226;0;0;1323;
"022026";"Bresimo";1;1;111;108;219;0;0;115;
"022027";"Brez";1;1;294;304;598;0;0;204;
"022029";"Caderzone Terme";1;1;273;263;536;0;0;219;
"022030";"Cagnò";1;1;148;143;291;0;0;109;
"022032";"Calceranica al Lago";1;1;556;550;1106;0;0;445;
"022033";"Caldes";2;2;437;446;883;0;0;366;
"022034";"Caldonazzo";3;3;1557;1568;3125;0;0;1247;
"022035";"Calliano";2;2;711;727;1438;0;0;532;
"022036";"Campitello di Fassa/Ciampedel";1;1;292;311;603;0;0;259;
"022037";"Campodenno";1;1;619;587;1206;0;0;577;
"022038";"Canal San Bovo";3;3;687;754;1441;0;0;501;
"022039";"Canazei/Cianacei";2;2;703;788;1491;0;0;651;
"022040";"Capriana";1;1;272;259;531;0;0;197;
"022041";"Carano";1;1;423;459;882;0;0;334;
"022042";"Carisolo";1;1;420;427;847;0;0;285;
"022043";"Carzano";1;1;207;221;428;0;0;184;
"022045";"Castel Condino";1;1;96;91;187;0;0;102;
"022240";"Castel Ivano";4;4;1427;1429;2856;0;0;1101;
"022046";"Castelfondo";1;1;246;224;470;0;0;181;
"022048";"Castello Tesino";2;2;614;604;1218;0;0;461;
"022047";"Castello-Molina di Fiemme";2;2;966;986;1952;0;0;676;
"022049";"Castelnuovo";1;1;433;428;861;0;0;334;
"022050";"Cavalese";3;3;1526;1676;3202;0;0;1182;
"022051";"Cavareno";1;1;423;405;828;0;0;327;
"022052";"Cavedago";1;1;245;242;487;0;0;204;
"022053";"Cavedine";2;2;1282;1264;2546;0;0;960;
"022054";"Cavizzana";1;1;100;113;213;0;0;89;
"022241";"Cembra Lisignago";3;3;955;952;1907;0;0;799;
"022058";"Cimone";1;1;285;270;555;0;0;266;
"022059";"Cinte Tesino";1;1;167;182;349;0;0;156;
"022060";"Cis";1;1;157;151;308;0;0;120;
"022061";"Civezzano";3;3;1637;1630;3267;0;0;1341;
"022062";"Cles";6;6;2611;2813;5424;0;0;2224;
"022063";"Cloz";1;1;285;259;544;0;0;183;
"022228";"Comano Terme";3;3;1118;1122;2240;0;0;853;
"022064";"Commezzadura";1;1;407;408;815;0;0;308;
"022242";"Contà";3;3;608;603;1211;0;0;491;
"022068";"Croviana";1;1;259;260;519;0;0;211;
"022070";"Daiano";1;1;285;279;564;0;0;178;
"022071";"Dambel";1;1;192;172;364;0;0;117;
"022074";"Denno";1;1;482;482;964;0;0;395;
"022233";"Dimaro Folgarida";2;2;844;881;1725;0;0;732;
"022078";"Drena";1;1;249;243;492;0;0;177;
"022079";"Dro";4;4;1908;1969;3877;0;0;1499;
"022080";"Faedo";1;1;265;260;525;0;0;254;
"022081";"Fai della Paganella";1;1;376;391;767;0;0;291;
"022083";"Fiavè";1;1;441;423;864;0;0;368;
"022085";"Fierozzo/Vlarötz";2;2;203;185;388;0;0;185;
"022087";"Folgaria";6;6;1368;1391;2759;0;0;1038;
"022088";"Fondo";1;1;551;575;1126;0;0;369;
"022089";"Fornace";1;1;524;501;1025;0;0;398;
"022090";"Frassilongo/Garait";1;1;151;146;297;0;0;118;
"022091";"Garniga Terme";1;1;172;158;330;0;0;132;
"022092";"Giovo";3;3;1044;1041;2085;0;0;854;
"022093";"Giustino";1;1;289;317;606;0;0;216;
"022095";"Grigno";2;2;957;1009;1966;0;0;735;
"022097";"Imer";1;1;523;525;1048;0;0;344;
"022098";"Isera";2;2;1076;1069;2145;0;0;844;
"022102";"Lavarone";1;1;513;518;1031;0;0;369;
"022103";"Lavis";6;6;3393;3455;6848;0;0;2870;
"022229";"Ledro";7;7;2140;2256;4396;0;0;1456;
"022104";"Levico Terme";6;6;3128;3160;6288;0;0;2515;
"022106";"Livo";1;1;355;327;682;0;0;314;
"022108";"Lona-Lases";1;1;316;309;625;0;0;278;
"022109";"Luserna/Lusern";1;1;118;131;249;0;0;100;
"022243";"Madruzzo";4;4;1126;1131;2257;0;0;909;
"022110";"Malé";3;3;831;897;1728;0;0;670;
"022111";"Malosco";1;1;157;151;308;0;0;112;
"022112";"Massimeno";1;1;75;67;142;0;0;38;
"022113";"Mazzin/Mazin";1;1;221;219;440;0;0;188;
"022114";"Mezzana";1;1;378;367;745;0;0;297;
"022115";"Mezzano";2;2;689;704;1393;0;0;507;
"022116";"Mezzocorona";4;4;1972;2097;4069;0;0;1742;
"022117";"Mezzolombardo";5;5;2650;2751;5401;0;0;2150;
"022118";"Moena/Moena";2;2;1073;1104;2177;0;0;840;
"022120";"Molveno";1;1;447;489;936;0;0;362;
"022123";"Mori";9;9;3819;3934;7753;0;0;3131;
"022124";"Nago-Torbole";2;2;1086;1098;2184;0;0;743;
"022126";"Nave San Rocco";1;1;539;529;1068;0;0;470;
"022127";"Nogaredo";2;2;864;824;1688;0;0;649;
"022128";"Nomi";1;1;516;570;1086;0;0;410;
"022129";"Novaledo";1;1;421;441;862;0;0;341;
"022130";"Ospedaletto";1;1;349;331;680;0;0;276;
"022131";"Ossana";1;1;329;350;679;0;0;323;
"022133";"Palù del Fersina/Palae en Bersntol";1;1;98;88;186;0;0;66;
"022134";"Panchià";1;1;340;341;681;0;0;263;
"022136";"Peio";3;3;831;752;1583;0;0;604;
"022137";"Pellizzano";2;2;333;343;676;0;0;300;
"022138";"Pelugo";1;1;144;156;300;0;0;128;
"022139";"Pergine Valsugana";21;21;8049;8544;16593;0;0;6632;
"022234";"Pieve di Bono-Prezzo";2;2;620;624;1244;0;0;421;
"022142";"Pieve Tesino";1;1;283;300;583;0;0;252;
"022143";"Pinzolo";4;4;1225;1259;2484;0;0;986;
"022144";"Pomarolo";2;2;1016;976;1992;0;0;817;
"022244";"Porte di Rendena";2;2;686;698;1384;0;0;455;
"022230";"Predaia";7;7;2567;2593;5160;0;0;1942;
"022147";"Predazzo";3;3;1782;1854;3636;0;0;1142;
"022245";"Primiero San Martino di Castrozza";6;6;2263;2350;4613;0;0;1578;
"022150";"Rabbi";1;1;618;605;1223;0;0;459;
"022152";"Revò";2;2;597;573;1170;0;0;394;
"022153";"Riva del Garda";13;13;6462;6891;13353;0;0;4598;
"022154";"Romallo";1;1;266;254;520;0;0;164;
"022155";"Romeno";1;1;594;578;1172;0;0;503;
"022156";"Roncegno Terme";3;3;1211;1267;2478;0;0;890;
"022157";"Ronchi Valsugana";1;1;204;186;390;0;0;140;
"022135";"Ronzo-Chienis";1;1;438;381;819;0;0;342;
"022159";"Ronzone";1;1;175;163;338;0;0;146;
"022160";"Roverè della Luna";2;2;616;612;1228;0;0;509;
"022161";"Rovereto";32;32;14614;16219;30833;0;0;11182;
"022162";"Ruffrè-Mendola";1;1;181;173;354;0;0;132;
"022163";"Rumo";1;1;376;340;716;0;0;268;
"022164";"Sagron Mis";1;1;91;98;189;0;0;76;
"022165";"Samone";1;1;245;233;478;0;0;203;
"022231";"San Lorenzo Dorsino";2;2;672;698;1370;0;0;488;
"022167";"San Michele all'Adige";2;2;1164;1141;2305;0;0;880;
"022168";"Sant'Orsola Terme";2;2;485;437;922;0;0;360;
"022169";"Sanzeno";1;1;379;387;766;0;0;281;
"022170";"Sarnonico";1;1;312;292;604;0;0;232;
"022171";"Scurelle";1;1;548;599;1147;0;0;421;
"022172";"Segonzano";1;1;567;583;1150;0;0;507;
"022246";"Sella Giudicarie";4;4;1281;1253;2534;0;0;926;
"022250";"Sèn Jan di Fassa/Sèn Jan";3;3;1327;1362;2689;0;0;1065;
"022173";"Sfruz";1;1;141;139;280;0;0;107;
"022176";"Soraga/Soraga";1;1;285;261;546;0;0;221;
"022177";"Sover";1;1;385;350;735;0;0;342;
"022179";"Spiazzo";1;1;462;502;964;0;0;340;
"022180";"Spormaggiore";1;1;594;561;1155;0;0;408;
"022181";"Sporminore";1;1;301;304;605;0;0;281;
"022182";"Stenico";1;1;572;539;1111;0;0;408;
"022183";"Storo";4;4;1820;1882;3702;0;0;1193;
"022184";"Strembo";1;1;209;230;439;0;0;152;
"022188";"Telve";2;2;824;874;1698;0;0;684;
"022189";"Telve di Sopra";1;1;285;257;542;0;0;196;
"022190";"Tenna";1;1;416;449;865;0;0;370;
"022191";"Tenno";2;2;792;820;1612;0;0;461;
"022193";"Terragnolo";1;1;348;342;690;0;0;215;
"022195";"Terzolas";1;1;243;263;506;0;0;225;
"022196";"Tesero";2;2;1133;1171;2304;0;0;791;
"022199";"Tione di Trento";4;4;1316;1442;2758;0;0;1047;
"022200";"Ton";1;1;568;500;1068;0;0;432;
"022202";"Torcegno";1;1;297;299;596;0;0;216;
"022203";"Trambileno";2;2;625;613;1238;0;0;474;
"022247";"Tre Ville";4;4;614;631;1245;0;0;462;
"022205";"Trento";98;98;43093;47522;90615;0;0;36458;
"022232";"Valdaone";3;3;546;493;1039;0;0;364;
"022209";"Valfloriana";1;1;222;212;434;0;0;186;
"022210";"Vallarsa";2;2;661;616;1277;0;0;481;
"022248";"Vallelaghi";7;7;2034;1983;4017;0;0;1673;
"022211";"Varena";1;1;342;348;690;0;0;239;
