"Istat Comune";"Nome Comune";"Sez.Pervenute";"Sez.Totali";"ElettoriM";"ElettoriF";"ElettoriT";"VotantiM";"VotantiF";"VotantiT";
"022001";"Ala";7;7;3322;3299;6621;2225;2179;4404;
"022002";"Albiano";1;1;583;562;1145;418;407;825;
"022003";"Aldeno";3;3;1232;1267;2499;906;931;1837;
"022235";"Altavalle";4;4;689;697;1386;470;473;943;
"022236";"Altopiano della Vigolana";5;5;2075;2049;4124;1443;1389;2832;
"022237";"Amblar-Don";1;1;201;209;410;139;135;274;
"022005";"Andalo";1;1;455;433;888;290;277;567;
"022006";"Arco";12;12;6820;7230;14050;3952;4151;8103;
"022007";"Avio";3;3;1586;1657;3243;1151;1152;2303;
"022009";"Baselga di Pinè";4;4;2049;2139;4188;1368;1346;2714;
"022011";"Bedollo";2;2;663;673;1336;468;461;929;
"022013";"Besenello";2;2;1031;1029;2060;714;725;1439;
"022015";"Bieno";1;1;183;192;375;124;118;242;
"022017";"Bleggio Superiore";2;2;647;628;1275;442;400;842;
"022018";"Bocenago";1;1;168;173;341;119;117;236;
"022021";"Bondone";2;2;303;283;586;188;170;358;
"022238";"Borgo Chiese";3;3;827;842;1669;533;510;1043;
"022239";"Borgo Lares";1;1;300;307;607;223;232;455;
"022022";"Borgo Valsugana";6;6;2744;2960;5704;1741;1879;3620;
"022025";"Brentonico";4;4;1604;1622;3226;1102;1078;2180;
"022026";"Bresimo";1;1;111;108;219;80;68;148;
"022027";"Brez";1;1;294;304;598;207;200;407;
"022029";"Caderzone Terme";1;1;273;263;536;192;185;377;
"022030";"Cagnò";1;1;148;143;291;91;89;180;
"022032";"Calceranica al Lago";1;1;556;550;1106;357;353;710;
"022033";"Caldes";2;2;437;446;883;322;324;646;
"022034";"Caldonazzo";3;3;1557;1568;3125;1022;1010;2032;
"022035";"Calliano";2;2;711;727;1438;479;458;937;
"022036";"Campitello di Fassa/Ciampedel";1;1;292;311;603;197;207;404;
"022037";"Campodenno";1;1;619;587;1206;481;437;918;
"022038";"Canal San Bovo";3;3;687;754;1441;378;378;756;
"022039";"Canazei/Cianacei";2;2;703;788;1491;465;500;965;
"022040";"Capriana";1;1;272;259;531;174;148;322;
"022041";"Carano";1;1;423;459;882;265;271;536;
"022042";"Carisolo";1;1;420;427;847;235;243;478;
"022043";"Carzano";1;1;207;221;428;147;152;299;
"022045";"Castel Condino";1;1;96;91;187;79;68;147;
"022240";"Castel Ivano";4;4;1427;1429;2856;953;946;1899;
"022046";"Castelfondo";1;1;246;224;470;167;144;311;
"022048";"Castello Tesino";2;2;614;604;1218;377;364;741;
"022047";"Castello-Molina di Fiemme";2;2;966;986;1952;589;584;1173;
"022049";"Castelnuovo";1;1;433;428;861;299;279;578;
"022050";"Cavalese";3;3;1526;1676;3202;951;1005;1956;
"022051";"Cavareno";1;1;423;405;828;287;265;552;
